date,_id,date,code,close,vol,amount,delta,insert_time,ma5,ma20,ma60,macd,signal,rsi,volatility,vol_change,target_1,target_2,target_3,target_4,target_5
2016-11-15,68505d6d34a7c6e6d373ad9d,2016-11-15,510500,5.88,171491,118904785.0,0.38,2025-06-17 02:07:41.174,5.819,5.7698,5.704766666666667,0.03635173007594261,0.025854511048172053,58.98437499999994,0.04975582483754371,0.012738138826225098,0.001,0.0002,-0.0048,-0.0002,0.0094
2016-11-16,68505d6d34a7c6e6d373ad9e,2016-11-16,510500,5.886,53952,37521890.0,0.1,2025-06-17 02:07:41.174,5.853800000000001,5.7766,5.707933333333333,0.041100302730020744,0.028903669384541794,60.86956521739131,0.05583000513778837,-0.6853945688111913,0.0002,-0.0048,-0.0002,0.0094,-0.0064
2016-11-17,68505d6d34a7c6e6d373ad9f,2016-11-17,510500,5.887,98764,68397804.0,0.02,2025-06-17 02:07:41.174,5.8713999999999995,5.783250000000001,5.710666666666667,0.044432086972046925,0.03200935290204282,66.88311688311683,0.06070452597365007,0.8305901542111507,-0.0048,-0.0002,0.0094,-0.0064,-0.0019
2016-11-18,68505d6d34a7c6e6d373ada0,2016-11-18,510500,5.859,58228,40349084.0,-0.48,2025-06-17 02:07:41.174,5.874,5.78895,5.7127,0.044302492438340835,0.034467980809302426,65.88486140724946,0.062256240439699184,-0.41043295127779356,-0.0002,0.0094,-0.0064,-0.0019,0.0049
2016-11-21,68505d6d34a7c6e6d373ada1,2016-11-21,510500,5.858,106847,73981963.0,-0.02,2025-06-17 02:07:41.174,5.8740000000000006,5.7923,5.7146833333333324,0.043616314471041306,0.0362976475416502,60.539215686274424,0.0641462966072284,0.834976300061826,0.0094,-0.0064,-0.0019,0.0049,0.0029
2016-11-22,68505d6d34a7c6e6d373ada2,2016-11-22,510500,5.913,101603,70563173.0,0.94,2025-06-17 02:07:41.174,5.880599999999999,5.7973,5.7175666666666665,0.04696912302120726,0.03843194263756161,74.75247524752473,0.06951720726025096,-0.04907952492816836,-0.0064,-0.0019,0.0049,0.0029,-0.0059
2016-11-23,68505d6d34a7c6e6d373ada3,2016-11-23,510500,5.875,94522,65824340.0,-0.64,2025-06-17 02:07:41.174,5.8784,5.80165,5.720916666666667,0.04602936763434329,0.03995142763691795,66.18357487922704,0.07159555631610183,-0.06969282403078647,-0.0019,0.0049,0.0029,-0.0059,-0.0063
2016-11-24,68505d6d34a7c6e6d373ada4,2016-11-24,510500,5.864,147759,102438343.0,-0.19,2025-06-17 02:07:41.174,5.8738,5.80605,5.72385,0.04389104797073884,0.040739351703682126,67.32186732186724,0.07263280033299117,0.563223376568418,0.0049,0.0029,-0.0059,-0.0063,0.006
2016-11-25,68505d6d34a7c6e6d373ada5,2016-11-25,510500,5.893,191801,132195401.0,0.49,2025-06-17 02:07:41.174,5.880599999999999,5.81415,5.7272,0.04402893372750771,0.041397268108447245,69.21296296296285,0.07285549865461267,0.29806644603712806,0.0029,-0.0059,-0.0063,0.006,-0.0163
2016-11-28,68505d6d34a7c6e6d373ada6,2016-11-28,510500,5.91,95683,66740923.0,0.29,2025-06-17 02:07:41.174,5.891,5.82415,5.7315000000000005,0.04499133500443442,0.04211608148764468,67.48166259168696,0.07152127029957621,-0.5011339878311375,-0.0059,-0.0063,0.006,-0.0163,-0.0068
2016-11-29,68505d6d34a7c6e6d373ada7,2016-11-29,510500,5.875,123595,86035330.0,-0.59,2025-06-17 02:07:41.174,5.8834,5.8293,5.734733333333334,0.04244060854043852,0.042180986898203446,70.9511568123393,0.07127640784854013,0.29171326149890775,-0.0063,0.006,-0.0163,-0.0068,0.0014
2016-11-30,68505d6d34a7c6e6d373ada8,2016-11-30,510500,5.838,163163,112639567.0,-0.63,2025-06-17 02:07:41.174,5.8759999999999994,5.83555,5.737166666666667,0.037006955515479945,0.04114618062165875,55.752212389380475,0.06581271273771347,0.32014240058254795,0.006,-0.0163,-0.0068,0.0014,0.0122
2016-12-01,68505d6d34a7c6e6d373ada9,2016-12-01,510500,5.873,170340,117731940.0,0.6,2025-06-17 02:07:41.174,5.8778,5.842149999999999,5.74025,0.03512011105985113,0.039940966709297226,54.12844036697249,0.062359969447361385,0.0439866881584674,-0.0163,-0.0068,0.0014,0.0122,-0.005
2016-12-02,68505d6d34a7c6e6d373adaa,2016-12-02,510500,5.777,155825,107197443.0,-1.63,2025-06-17 02:07:41.174,5.8546000000000005,5.844849999999999,5.741566666666667,0.02558346527769384,0.03706946642297655,40.145985401459946,0.05794214446553874,-0.08521192908301045,-0.0068,0.0014,0.0122,-0.005,-0.0028
2016-12-05,68505d6d34a7c6e6d373adab,2016-12-05,510500,5.738,169860,115294708.0,-0.68,2025-06-17 02:07:41.174,5.8202,5.8454,5.74315,0.014709073678822016,0.03259738787414564,33.41121495327111,0.05680567058426936,0.09006898764639826,0.0014,0.0122,-0.005,-0.0028,-0.0416
2016-12-06,68505d6d34a7c6e6d373adac,2016-12-06,510500,5.746,84949,57726826.0,0.14,2025-06-17 02:07:41.174,5.7944,5.84435,5.745333333333334,0.006659803067980974,0.02740987091291271,33.72093023255819,0.0584999100314385,-0.4998881431767338,0.0122,-0.005,-0.0028,-0.0416,0.0031
2016-12-07,68505d6d34a7c6e6d373adad,2016-12-07,510500,5.816,74266,50618619.0,1.22,2025-06-17 02:07:41.174,5.790000000000001,5.84955,5.748,0.005861544862130863,0.02310020570275634,42.88577154308621,0.05014135282538927,-0.12575780762575195,-0.005,-0.0028,-0.0416,0.0031,-0.0063
2016-12-08,68505d6d34a7c6e6d373adae,2016-12-08,510500,5.787,63560,43498239.0,-0.5,2025-06-17 02:07:41.174,5.7728,5.84895,5.748433333333334,0.0028559403434496033,0.019051352630894997,42.800000000000004,0.0508449397161518,-0.14415748794872485,-0.0028,-0.0416,0.0031,-0.0063,0.0063
2016-12-09,68505d6d34a7c6e6d373adaf,2016-12-09,510500,5.771,95538,65207023.0,-0.28,2025-06-17 02:07:41.174,5.7716,5.8452,5.748833333333333,-0.0008077776166963702,0.015079526581376724,41.553398058252455,0.05375637049153573,0.5031151667715545,-0.0416,0.0031,-0.0063,0.0063,0.0067
2016-12-12,68505d6d34a7c6e6d373adb0,2016-12-12,510500,5.531,401528,266201020.0,-4.16,2025-06-17 02:07:41.174,5.7302,5.82885,5.744683333333333,-0.02281430561833009,0.007500760141435362,22.71428571428568,0.08829273976233137,3.2028093533463124,0.0031,-0.0063,0.0063,0.0067,0.0007
2016-12-13,68505d6d34a7c6e6d373adb1,2016-12-13,510500,5.548,213072,138765371.0,0.31,2025-06-17 02:07:41.174,5.690600000000001,5.81225,5.741783333333333,-0.03843976994304832,-0.0016873458754613734,25.92047128129603,0.10732776900691483,-0.469347094100536,-0.0063,0.0063,0.0067,0.0007,-0.0043
2016-12-14,68505d6d34a7c6e6d373adb2,2016-12-14,510500,5.513,139454,91227496.0,-0.63,2025-06-17 02:07:41.174,5.63,5.7936,5.740983333333333,-0.05303590558272031,-0.011957057816913162,25.03556187766715,0.12482003887703501,-0.34550762183675,0.0063,0.0067,0.0007,-0.0043,0.0084
